playerID,yearID,teamID,inseason,games,rank
buckeal99,1890,CL6,1,80,2
schmegu99,1890,CL6,2,57,2
sullipa99,1890,CL6,3,3,2
chapmja01,1890,LS2,1,136,1
sharsbi99,1890,PH4,1,132,8
powerpa99,1890,RC2,1,133,5
mccarto01,1890,SL4,1,22,3
kerinjo01,1890,SL4,2,17,3
rosemch01,1890,SL4,3,15,3
campaco01,1890,SL4,4,42,3
mccarto01,1890,SL4,5,5,3
gerhajo01,1890,SL4,6,38,3
frazege99,1890,SR2,1,71,6
fessewa99,1890,SR2,2,11,6
frazege99,1890,SR2,3,46,6
mortoch01,1890,TL2,1,134,4
mcgunbi01,1890,BRO,1,129,1
seleefr99,1890,BSN,1,134,5
ansonca01,1890,CHN,1,139,2
loftuto01,1890,CIN,1,134,4
schmegu99,1890,CL4,1,78,7
leadlbo99,1890,CL4,2,58,7
mutriji99,1890,NY1,1,135,6
wrighha01,1890,PHI,1,22,3
clemeja01,1890,PHI,2,19,3
reachal01,1890,PHI,3,11,3
allenbo01,1890,PHI,4,35,3
wrighha01,1890,PHI,5,46,3
heckegu01,1890,PIT,1,138,8
roweja01,1890,BFP,1,81,8
faatzja01,1890,BFP,2,34,8
roweja01,1890,BFP,3,19,8
wardjo01,1890,BRP,1,133,2
kellyki01,1890,BSP,1,133,1
comisch01,1890,CHP,1,138,4
larkihe01,1890,CLP,1,79,7
tebeapa01,1890,CLP,2,52,7
ewingbu01,1890,NYP,1,132,3
fogarji01,1890,PHP,1,16,5
buffich01,1890,PHP,2,116,5
hanlone01,1890,PTP,1,131,6
barnibi01,1891,BL3,1,139,4
irwinar01,1891,BS2,1,139,1
schmegu99,1891,CL6,1,138,6
kellyki01,1891,CN3,1,102,7
chapmja01,1891,LS2,1,141,8
cushmch99,1891,ML3,1,36,3
sharsbi99,1891,PH4,1,18,4
woodge01,1891,PH4,2,125,4
comisch01,1891,SL4,1,141,2
trottsa01,1891,WS9,1,12,9
snydepo01,1891,WS9,2,70,8
shannda01,1891,WS9,3,51,8
griffsa01,1891,WS9,4,6,8
wardjo01,1891,BRO,1,137,6
seleefr99,1891,BSN,1,140,1
ansonca01,1891,CHN,1,137,2
loftuto01,1891,CIN,1,138,7
leadlbo99,1891,CL4,1,68,5
tebeapa01,1891,CL4,2,73,5
mutriji99,1891,NY1,1,136,3
wrighha01,1891,PHI,1,138,4
hanlone01,1891,PIT,1,78,8
mcgunbi01,1891,PIT,2,59,8
vanhage01,1892,BLN,1,11,12
waltzjo99,1892,BLN,2,8,12
hanlone01,1892,BLN,3,133,10
wardjo01,1892,BRO,1,158,2
seleefr99,1892,BSN,1,152,1
ansonca01,1892,CHN,1,147,7
comisch01,1892,CIN,1,155,4
tebeapa01,1892,CL4,1,153,1
chapmja01,1892,LS3,1,54,11
pfefffr01,1892,LS3,2,100,9
powerpa99,1892,NY1,1,153,6
wrighha01,1892,PHI,1,155,3
buckeal99,1892,PIT,1,29,6
burnsto01,1892,PIT,2,60,4
buckeal99,1892,PIT,3,66,4
glassja01,1892,SLN,1,4,9
striccu01,1892,SLN,2,23,9
crookja01,1892,SLN,3,62,9
gorege01,1892,SLN,4,16,11
carutbo01,1892,SLN,5,50,11
barnibi01,1892,WAS,1,2,7
irwinar01,1892,WAS,2,108,7
richada01,1892,WAS,3,43,12
hanlone01,1893,BLN,1,130,8
foutzda01,1893,BRO,1,130,7
seleefr99,1893,BSN,1,131,1
ansonca01,1893,CHN,1,128,9
comisch01,1893,CIN,1,131,6
tebeapa01,1893,CL4,1,129,3
barnibi01,1893,LS3,1,126,11
wardjo01,1893,NY1,1,136,5
wrighha01,1893,PHI,1,133,4
buckeal99,1893,PIT,1,131,2
